FECHA,TMAX,TMIN,NOMBRE
2031-12-29,,-0.6,PEHUAJO AERO
2031-12-29,8.9,-4,PERITO MORENO AERO
2031-12-29,16,1.8,PIGUE AERO
2031-12-29,19.6,-1,PILAR OBSERVATORIO
2031-12-29,15.2,4.6,POSADAS AERO
2031-12-29,18.5,-2.4,PRESIDENCIA ROQUE SAENZ PEÑA AERO
2031-12-29,11,2,PUERTO DESEADO AERO
2031-12-29,20,5.9,PUERTO MADRYN AERO
2031-12-29,11.5,3,PUNTA INDIO B.A.
2031-12-29,,1.5,RAFAELA AERO
2031-12-29,17.9,1.2,RECONQUISTA AERO
2031-12-29,17.4,1.1,RESISTENCIA AERO
2031-12-29,19,-0.2,RIO CUARTO AERO
2031-12-29,7.3,-1,RIO GALLEGOS AERO
2031-12-29,8.1,0.2,RIO GRANDE B.A.
2031-12-29,21,2.3,RIVADAVIA
2031-12-29,17,-0.2,ROSARIO AERO
2031-12-29,16.6,-0.1,SALTA AERO
2031-12-29,21.4,-1.2,SAN ANTONIO OESTE AERO
2031-12-29,16.8,1.4,SAN FERNANDO AERO
2031-12-29,20.5,0.5,SAN JUAN AERO
2031-12-29,9,-0.6,SAN JULIAN AERO
2031-12-29,20.6,4.3,SAN LUIS AERO
2031-12-29,20.3,2,SAN MARTIN (MZA)
2031-12-29,18.5,2.1,SAN RAFAEL AERO
2031-12-29,7.5,-0.5,SANTA CRUZ AERO
2031-12-29,20.5,0.1,SANTA ROSA AERO
2031-12-29,19.6,-4.4,SANTA ROSA DE CONLARA AERO
2031-12-29,23.2,-1.4,SANTIAGO DEL ESTERO AERO
2031-12-29,17.5,0.6,SAUCE VIEJO AERO
2031-12-29,18.2,0.9,SUNCHALES AERO
2031-12-29,10.4,-2.3,TANDIL AERO
2031-12-29,20.3,2,TARTAGAL AERO
2031-12-29,22.6,2,TERMAS DE RIO HONDO AERO
2031-12-29,21,0,TINOGASTA
2031-12-29,22,7.5,TRELEW AERO
2031-12-29,18.4,0.6,TRENQUE LAUQUEN
2031-12-29,15.1,-1.7,TRES ARROYOS
2031-12-29,22,6.2,TUCUMAN AERO
2031-12-29,8.9,4.6,USHUAIA AERO
2031-12-29,17,-3.2,USPALLATA
2031-12-29,17,-1,VENADO TUERTO AERO
2031-12-29,21.3,3.4,VICTORICA
2031-12-29,18.9,1.8,VIEDMA AERO
2031-12-29,21.1,-2.7,VILLA DE MARIA DEL RIO SECO
2031-12-29,21.4,3.8,VILLA DOLORES AERO
2031-12-29,10.6,3.5,VILLA GESELL AERO
2031-12-29,23.3,-2.7,VILLA REYNOLDS AERO
2031-12-19,14.9,5.8,AEROPARQUE AERO
2031-12-19,15.3,-3.2,AZUL AERO
2031-12-19,15.8,-0.3,BAHIA BLANCA AERO
2031-12-19,13.2,-0.9,BARILOCHE AERO
2031-12-19,-13.5,-17.6,BASE BELGRANO II
2031-12-19,-0.3,-2,BASE CARLINI (EX JUBANY)
2031-12-19,2.5,-5.7,BASE ESPERANZA
2031-12-19,-2.9,-16.4,BASE MARAMBIO
2031-12-19,0.4,-13.6,BASE ORCADAS
2031-12-19,-2.3,-6.7,BASE SAN MARTIN
2031-12-19,13.8,-3.2,BENITO JUAREZ
2031-12-19,14.8,7.8,BERNARDO DE IRIGOYEN AERO
2031-12-19,15.7,-1,BOLIVAR AERO
2031-12-19,15,5.7,BUENOS AIRES OBSERVATORIO
2031-12-19,13.6,2.8,CAMPO DE MAYO AERO
2031-12-19,18.6,10.2,CATAMARCA AERO
2031-12-19,15.1,2,CERES AERO
2031-12-19,20,8.2,CHAMICAL AERO
2031-12-19,14.5,-3.5,CHAPELCO AERO
2031-12-19,22.2,3.6,CHEPES
2031-12-19,17.7,8.4,CHILECITO AERO
2031-12-19,13.3,1.9,COMODORO RIVADAVIA AERO
2031-12-19,13,5.8,CONCORDIA AERO
2031-12-19,16.4,-4.3,CORDOBA AERO
2031-12-19,17.2,0.3,CORDOBA OBSERVATORIO
2031-12-19,17.2,-2.4,CORONEL SUAREZ AERO
2031-12-19,13.5,8.6,CORRIENTES AERO
2031-12-19,11.7,1.5,DOLORES AERO
2031-12-19,13,-3.1,EL BOLSON AERO
2031-12-19,8.9,-0.6,EL CALAFATE AERO
2031-12-19,14.1,2.5,EL PALOMAR AERO
2031-12-19,,-3.3,ESCUELA DE AVIACION MILITAR AERO
2031-12-19,14.4,-1.9,ESQUEL AERO
2031-12-19,13.5,1.5,EZEIZA AERO
2031-12-19,16,8.7,FORMOSA AERO
2031-12-19,18,-3.4,GENERAL PICO AERO
2031-12-19,10,-1.5,GOBERNADOR GREGORES AERO
2031-12-19,13,5.5,GUALEGUAYCHU AERO
2031-12-19,17.1,9.5,IGUAZU AERO
2031-12-19,13,9,ITUZAINGO
2031-12-19,17.2,5.5,JACHAL
2031-12-19,13,6.7,JUJUY AERO
2031-12-19,10.8,7,JUJUY U N
2031-12-19,14.7,2.1,JUNIN AERO
2031-12-19,13.1,3.8,LA PLATA AERO
2031-12-19,17.8,-5.3,LA QUIACA OBSERVATORIO
2031-12-19,21.8,10.8,LA RIOJA AERO
2031-12-19,16.5,-0.5,LABOULAYE AERO
2031-12-19,13,1,LAS FLORES
2031-12-19,19,11.8,LAS LOMITAS
2031-12-19,11,-2,MALARGUE AERO
2031-12-19,15,-8.4,MAQUINCHAO
2031-12-19,13.5,0.8,MAR DEL PLATA AERO
2031-12-19,15.4,-1.7,MARCOS JUAREZ AERO
2031-12-19,,2.5,MARIANO MORENO AERO
2031-12-19,17.2,5.8,MENDOZA AERO
2031-12-19,,4.5,MENDOZA OBSERVATORIO
2031-12-19,12.2,4.8,MERCEDES AERO (CTES)
2031-12-19,,3,MERLO AERO
2031-12-19,12,8,METAN
2031-12-19,12.4,6.3,MONTE CASEROS AERO
2031-12-19,13.7,1.5,MORON AERO
2031-12-19,18.7,-1,NEUQUEN AERO
2031-12-19,15.2,1.7,NUEVE DE JULIO
2031-12-19,19,9,OBERA
2031-12-19,15.1,-2,OLAVARRIA AERO
2031-12-19,16.4,12.6,ORAN AERO
